product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,sku_rows,category_count,categories
Arden Eggs Brown,85.0,79.0,7,4,348,False,5,5,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Meats, Fish & Eggs, Munchies"
Arden Eggs White,65.0,55.0,15,4,348,False,5,5,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Meats, Fish & Eggs, Munchies"
Arden Eggs White,97.0,97.0,0,4,696,False,5,5,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Meats, Fish & Eggs, Munchies"
Borges Durum Wheat Fusilli Pasta,250.0,250.0,0,3,500,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Borges Durum Wheat Pasta Superior Quality,250.0,149.0,40,6,500,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Borges Farfalle Durum Wheat Pasta,250.0,250.0,0,5,500,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Cantina Beans Mexican Beans,250.0,213.0,14,6,410,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Chef's Basket Durum Wheat Elbow Pasta,160.0,80.0,50,6,500,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Chef's Basket Durum Wheat Fusilli Pasta,160.0,80.0,50,6,500,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Chef's Basket Durum Wheat Penne Pasta,160.0,80.0,50,0,500,True,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Ching's Chow Mein Hakka Noodles Masala,10.0,10.0,0,0,20,True,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Ching's Manchurian Instant Noodles,15.0,15.0,0,5,60,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Ching's Schezwan Masala Instant Noodles,60.0,60.0,0,1,240,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Ching's Secret Chowmein Hakka Noodles Masala,44.0,44.0,0,2,60,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Ching's Secret Instant Hot Garlic Noodles,15.0,15.0,0,3,60,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
"Ching's Secret Instant Noodles, Hot Garlic",60.0,60.0,0,4,240,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Ching's Secret Instant Schezwan Noodles,15.0,15.0,0,6,60,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Ching's Secret Veg Hakka Noodles,107.0,107.0,0,0,600,True,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Ching's Singapore Curry Instant Noodles,60.0,60.0,0,4,240,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Dabur Hommade Tamarind Paste,48.0,45.0,6,6,200,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Funfoods Peanut Butter Creamy,169.0,169.0,0,1,400,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
