priority_rank,sku_id,category,product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,stockout_rate_pct,available_inventory_value_rupees,priority_score
60,2137,"Meats, Fish & Eggs","Zorabian Chicken Kheema Parathas",190.0,190.0,0,0,300,1,19.05,0.0,55
61,765,"Cooking Essentials","Daawat Super Basmati Rice",185.0,169.0,8,0,1000,1,12.45,0.0,55
62,2243,Munchies,"Daawat Super Basmati Rice",185.0,169.0,8,0,1000,1,12.45,0.0,55
63,562,"Chocolates & Candies","Safal Frozen - Sweet Corn",160.0,152.0,5,0,1000,1,11.6,0.0,55
64,1383,"Fruits & Vegetables","Safal Frozen - Sweet Corn",160.0,152.0,5,0,1000,1,6.45,0.0,55
65,1977,"Ice Cream & Desserts","Safal Frozen - Sweet Corn",160.0,152.0,5,0,1000,1,11.6,0.0,55
66,3286,"Packaged Food","Safal Frozen - Sweet Corn",160.0,152.0,5,0,1000,1,11.6,0.0,55
67,201,Biscuits,"Dukes Waffy Chocolate Wafer Rolls",150.0,75.0,50,0,250,1,28.57,0.0,55
68,2112,"Meats, Fish & Eggs","Godrej Yummiez Chicken Breakfast Salami",150.0,143.0,4,0,250,1,19.05,0.0,55
69,2135,"Meats, Fish & Eggs","Zorabian Chicken Breast Boneless",145.0,145.0,0,0,450,1,19.05,0.0,55
70,357,"Chocolates & Candies","Del Monte Eggless Mayo",135.0,126.0,6,0,500,1,11.6,0.0,55
71,1772,"Ice Cream & Desserts","Del Monte Eggless Mayo",135.0,126.0,6,0,500,1,11.6,0.0,55
72,3081,"Packaged Food","Del Monte Eggless Mayo",135.0,126.0,6,0,500,1,11.6,0.0,55
73,971,"Cooking Essentials","Popular Essentials Buckwheat Flour (Kuttu Atta)",125.0,113.0,9,0,500,1,12.45,0.0,55
74,2449,Munchies,"Popular Essentials Buckwheat Flour (Kuttu Atta)",125.0,113.0,9,0,500,1,12.45,0.0,55
75,360,"Chocolates & Candies","Del Monte Original Blend Tomato Ketchup Pouch",120.0,111.0,7,0,950,1,11.6,0.0,55
76,1775,"Ice Cream & Desserts","Del Monte Original Blend Tomato Ketchup Pouch",120.0,111.0,7,0,950,1,11.6,0.0,55
77,3084,"Packaged Food","Del Monte Original Blend Tomato Ketchup Pouch",120.0,111.0,7,0,950,1,11.6,0.0,55
78,1102,"Cooking Essentials","Satyam Singdana",119.0,111.0,6,0,500,1,12.45,0.0,55
79,2580,Munchies,"Satyam Singdana",119.0,111.0,6,0,500,1,12.45,0.0,55
80,1071,"Cooking Essentials","Pro Nature Organic Sonamasoori Brown Rice",102.0,94.0,7,0,1000,1,12.45,0.0,55
81,2549,Munchies,"Pro Nature Organic Sonamasoori Brown Rice",102.0,94.0,7,0,1000,1,12.45,0.0,55
82,23,Beverages,"Amul Pizza Cheese - Mozzarella",100.0,99.0,1,0,200,1,21.71,0.0,55
83,1201,"Dairy, Bread & Batter","Amul Pizza Cheese - Mozzarella",100.0,99.0,1,0,200,1,21.71,0.0,55
84,2787,"Paan Corner","Godrej No.1 Bathing Soap – Lime & Aloe Vera",100.0,84.0,16,0,500,1,6.14,0.0,55
85,3519,"Personal Care","Godrej No.1 Bathing Soap – Lime & Aloe Vera",100.0,84.0,16,0,500,1,6.14,0.0,55
86,616,"Chocolates & Candies","Top Ramen Masala",91.0,82.0,9,0,560,1,11.6,0.0,55
87,1157,"Cooking Essentials","Top Ramen Masala",91.0,82.0,9,0,560,1,12.45,0.0,55
88,2031,"Ice Cream & Desserts","Top Ramen Masala",91.0,82.0,9,0,560,1,11.6,0.0,55
89,2635,Munchies,"Top Ramen Masala",91.0,82.0,9,0,560,1,12.45,0.0,55
90,3340,"Packaged Food","Top Ramen Masala",91.0,82.0,9,0,560,1,11.6,0.0,55
91,1140,"Cooking Essentials","Tata Sampann Moong Chilka",88.0,82.0,6,0,500,1,12.45,0.0,55
92,2618,Munchies,"Tata Sampann Moong Chilka",88.0,82.0,6,0,500,1,12.45,0.0,55
93,12,Beverages,"Amul Cheese Spread Spicy Garlic",85.0,82.0,3,0,200,1,21.71,0.0,55
